,meaning1,meaning2,realizations
779,hand/arm,group of men,1
780,hand/arm,hand (of a clock),1
781,hand/arm,handwriting,2
782,hand/arm,kind (n.),2
783,hand/arm,"manner, way",1
784,hand/arm,part,1
785,hand/arm,"power, authority",12
786,hand/arm,ray,2
787,hand/arm,side (n.),5
788,hand/arm,"skilful, dexterous",1
789,hand/arm,strait,1
790,hand/arm,strength,3
791,hand/arm,"trunk, proboscis (of elephant)",7
792,"handle, gripe",wing,1
793,happy,strong,1
794,"hard, solid",good,1
795,"hard, solid",obstinate,6
796,"hard, solid",persistent,4
797,"hard, solid",severe,14
798,hare (Lepus),gay,1
799,hare (Lepus),moon,3
800,hare (Lepus),pacemaker (running),10
801,"harm, damage",to deceive,1
802,hawthorn,blackthorn,1
803,hawthorn,dog-rose,1
804,haymaking (time),Eurasian hoopoe,1
805,he,bear (Ursus),1
806,head,beginning,8
807,head,boss,16
808,head,chapter (of a book),5
809,head,"ear, spike (of a grain plant)",3
810,head,edge,2
811,head,face,2
812,head,"heading, title",1
813,head,headstream,6
814,head,kind (n.),1
815,head,mind (n.),15
816,head,money,3
817,head,nail-head,10
818,head,nipple (part of the breast),1
819,head,one piece (at counting),7
820,head,plot of land,1
821,head,roof,1
822,head,round object,6
823,head,side (n.),3
824,head,table of contents,1
825,head,top,1
826,healthy,brave,1
827,healthy,competent,2
828,healthy,sober,3
829,healthy,sun,1
830,"heap, pile","many, much",2
831,heart,belly,1
832,heart,brave,6
833,heart,by heart,1
834,heart,clapper of a bell,1
835,heart,essence,2
836,heart,impudence,1
837,heart,inside,4
838,heart,mind (n.),7
839,heart,stone (of a fruit),2
840,"heathen, pagan",buckwheat,1
841,heavy (of weight),bad,3
842,heavy (of weight),"bass, low-pitched voice",3
843,heavy (of weight),bothering,1
844,heavy (of weight),difficult,20
845,heavy (of weight),"earnest, serious",1
846,heavy (of weight),important,14
847,heavy (of weight),insulting,3
848,heavy (of weight),pregnant,16
849,heavy (of weight),rich,1
850,heavy (of weight),slow (adj.),2
851,heavy (of weight),strong,2
852,heavy (of weight),"stuffy, close",8
853,heavy (of weight),stupid,1
854,heavy (of weight),very,4
855,hedgehog (Еrinaceus),chestnut,2
856,hedgehog (Еrinaceus),rat,2
857,heel (of a foot),behind,2
858,heel (of a foot),edge,2
859,heel (of a foot),end,1
860,heel (of a foot),"footprint, track",1
861,heel (of a foot),heel (of a shoe),11
862,heel (of a foot),hoof,1
863,height (of a person),age,2
864,hell,experience of great suffering,3
865,hell,glutton,2
866,hen,vagina,1
867,hen,whore,2
868,hermit,Boletus edulis,1
