Concepticon_Gloss.xo,Concepticon_Gloss.yo,xo_source_score,xo_source_odds,labels
LIGHTNING,FLASH (VERB),12020908.0,15.969365577856069,1.0
WEIGH,POTTER,12148790.0,15.969365577855982,1.0
GOOD,KIND OR POLITE,23416928.999999817,15.928300956580417,1.0
PEOPLE,COMPANIONSHIP,11701203.0,15.770883611027344,1.0
THIRSTY,BE THIRSTY,7760598.666666642,15.727160223621835,1.0
DYE,PAINT (SOMETHING),11253616.0,15.622731614135626,1.0
WAIT (FOR),SEEDLING,5758326.0,15.596512516047952,1.0
TASTE (SOMETHING),TASTE,11189675.0,15.592432085948985,1.0
LIVER,MUSCLE,11189675.0,15.531143600479128,1.0
HEAD,CENTER,19591647.000000097,15.419288302753852,1.0
LOVE,WILD RICE,10806029.0,15.405734578980908,1.0
SUCK,HUMMINGBIRD,18919637.999999896,15.3378510059779,1.0
POST,SUPPORT (OF OBJECT),10614206.0,15.30911288484782,1.0
FRUIT,APPLE,18661172.999999877,15.278689860770996,1.0
BAD,APPLE,18195936.000000138,15.190906266288039,1.0
TOMORROW,SAGO GRUB,10486324.0,15.176715182807362,1.0
MATERNAL AUNT,PATERNAL AUNT (FATHER'S SISTER),5507964.0,15.139921496190256,1.0
STRAIGHT,VERTICAL,17006997.000000097,15.002789370750861,1.0
HOT,YARN,17110382.99999995,14.992911764913877,1.0
ARROW,LOOSE,10038737.0,14.934645841338739,1.0
FIREWOOD,TIN (METAL),16645146.000000026,14.901843429163215,1.0
HEART,COURAGE,16490066.999999892,14.901843429163117,1.0
TRAVERSE,PASS BY,9974796.0,14.898933900628608,1.0
SWEET,MUNTJACS,9846914.0,14.898933900628524,1.0
BOLT (OF LIGHTNING),BLINK,9910855.0,14.862928869530226,1.0
CUT,SHEAR,42178309.0,14.733567579229339,1.0
RATTAN,EUCALYPT,5257602.0,14.669566576079374,1.0
LOUSE,ACHIOTE,15301128.000000104,14.614758677786613,1.0
EYE,CENTER,14784198.0000001,14.50610052527367,1.0
RIDE,FLAG,9271445.0,14.485930833662056,1.0
WOOD,DIGGING STICK,35083299.33333307,14.47815976971531,1.0
FAST,ABSTAIN FROM FOOD,14629118.999999965,14.456114418121569,1.0
FAST,BUSY,14629118.999999963,14.456114418121567,1.0
KEY,FAUCET,5132421.0,14.429031686725649,1.0
WALK,WALK (MANNER),33211609.666666575,14.399344438836687,1.0
MAN,FREEMAN,32079890.33333344,14.345308369895902,1.0
GO,WALK (MANNER),32079890.33333344,14.341010452058601,1.0
GRIND,HAT,14060496.000000034,14.326298717961837,1.0
JAW,PALATE,8951740.0,14.285068107716206,1.0
EXPENSIVE,CUPBOARD,8951740.0,14.285068107716206,1.0
DECEIT,UNTRUTH,6410929.333333362,14.23904204313596,1.0
NEW,TIN (METAL),13698645.0,14.231060070782283,1.0
STAND,COCONUT TREE,13646951.999999903,14.203152683223006,1.0
BEAR,ANTEATER,5007240.0,14.184815864022664,1.0
EIGHT,TOMATO,4882059.0,13.936833961844025,1.0
HOUSE,COMPOUND,25333102.0,13.929717072191306,1.0
"DWELL (LIVE, RESIDE)",WOK,24593131.66666654,13.872701780060614,1.0
ARM,SLEEVE,24201382.666666545,13.841296102567272,1.0
CLAN,RITUAL GROUND,8056566.0,13.67287940346691,1.0
FOUR,OFFICIAL,8056566.0,13.672879403466904,1.0
SHARPEN (SOMETHING),YARN,11734311.000000054,13.64035370623393,1.0
FIRE,LIME (MATERIAL),21894416.333333474,13.636906566948868,1.0
MIRROR,SPECTACLES,5904803.333333364,13.604597224462282,1.0
FAMILY,COMPANIONSHIP,7864743.0,13.531161406202587,1.0
SEED,SPERM,20501531.0,13.504057715811978,1.0
NOT,WITHOUT,11320766.999999912,13.497402767733872,1.0
